S.no,Maker,ELECTRIC(3-Wheeler)
145,HITEK ELECTRIC AUTO CO,2
146,HOOGHLY MOTORS PVT LTD,"1,190"
147,HOP MOTORS PVT LTD,66
148,HOTAGE CORPORATION INDIA,"1,537"
149,HOVEL CYLINDER PVT LTD,14
150,HUNDAL INDUSTRIES,418
151,HYKON INDIA LTD,176
152,INDIAN MOTORS,540
153,JADE KOREA SPINE LIFE,9
154,JAIDKA POWER SYSTEMS PVT LTD,340
155,JAIN POWER CORP,24
156,JAISIK BUSINESS LINKS PVT LTD,122
157,JAJODIA COMMODITIES PVT LTD,157
158,JAYDEV ENTERPRISE,20
159,JESSUN TECHNO PVT LTD,92
160,JITENDRA NEW EV-TECH PVT. LTD,41
161,JITENDRA TEMPO PARTS,398
162,JOYRAM STEEL FABRICATION WORKS,1
163,J P AUTO TECH,37
164,J. S. AUTO (P) LTD,"3,130"
165,JS MOBILEON PVT LTD,86
166,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,76
167,KALIKA VAHAN PVT LTD,2
168,KALINGA VENTURES INDIA PVT LTD,67
169,KALPVRIKSH ELECTOMOBILES CO,70
170,KAMAZ INDUSTRIES,18
171,KAPTECH INDIA PVT LTD,523
172,KERALA AUTOMOBILES LIMITED,26
173,KETO MOTORS PVT LTD,56
174,KGN,146
175,KGN INDUSTRIES,7
176,KHALSA AGENCIES,"1,624"
177,KHEMRAJ AUTOMOTIVE INDUSTRIES,2
178,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,"1,011"
179,KIRTI SOLAR LTD,85
180,KLB KOMAKI PVT LTD,5
181,KPT MOTORS,3
182,KRANTI AUTOMOBILES LTD,3
183,KRISHNA ENGINEERING WORKS,325
184,KRISHNA VEHICALS,69
185,K T ENTERPRISES,134
186,KUKU AUTOMOTIVES,172
187,KULKARNI POWER TOOLS LTD,6
188,KUMAR ENGINEERING,491
189,K. V. INDUSTRIES,4
190,LAKSHYA MOTORS,5
191,LAWAT MOTORS LLP,221
192,LAXMI E-RICKSHAW COMPANY,3
193,LECTRIX EV PVT LTD,"2,236"
194,LOHIA AUTO INDUSTRIES,751
195,LORDS VEHICLE MFG PVT LTD,38
196,M2J E VAHAN PVT LTD,34
197,MAA KALPANA ENTERPRISE,10
198,MAA SHAKTI EXIM PVT LTD,"1,427"
199,MAC AUTO INDIA,312
200,MAHI ENTERPRISES,34
201,MAHINDRA & MAHINDRA LIMITED,"5,421"
202,MAHINDRA REVA ELECTRIC VEHICLES PVT LTD,"7,129"
203,MAHTAB BODY MAKER,57
204,MALI ENTERPRISES,73
205,MANISH EV INTERNATIONAL PRIVATE LIMITED,43
206,MANITA CITY MOTORS LLP,413
207,MANMOHAN KAUR,18
208,MARINE NAVAIDS & SOLAR AUTO PVT LTD,8
209,M G INDUSTRIES,25
210,MINI METRO EV L.L.P,"4,814"
211,M.K. ENTERPRISES,250
212,MLR AUTO LTD,5
213,MOHAN GENERAL TRADING COMPANY,19
214,MOTRAC MOTORS PVT LTD,20
215,MOVE STONE SERVICES PVT LTD,138
216,M/S JASRAJ AUTO AGENCY,16
217,M/S SHRIRAM AUTO TECH PVT LTD,746
218,M/S VISHNU CLEAN ENERGY VEHICLES LLP,3
219,MULTI DIMENSIONAL SOLUTIONS,10
220,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,517
221,NABH MOTORS PVT LTD,2
222,NAMAH INDUSTRIES PVT LTD,3
223,NBC ENGINEERING PVT LTD,4
224,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,264
225,NEW ARCANA INDIA,588
226,NEWTON INDIA INDUSTRIES PVT LTD,5
227,NGAGE WHEEL PVT LTD,8
228,NHD MOTORS,147
229,NIBE MOTORS PVT LTD,19
230,NIPUN SANYANTRA PVT LTD,347
231,NIRMAL UTILITY SERVICES PVT LTD,44
232,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,801
233,OGATA MOTORS INDIA PVT LTD,58
234,OK PLAY INDIA LTD,9
235,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,"1,350"
236,OMEGA SALES & AGRO INDUSTRIES,46
237,OMEGA SEIKI PVT LTD,"1,178"
238,OM. INDUSTRIES,1
239,OM PACKAGING,10
240,OM RAJ AUTOTECH LLP,646
241,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,8
242,PACE AGRO PRIVATE LIMITED,14
243,PANTHER ELECTRIC VEHICLES,48
244,PARAS INDUSTRIES,480
245,PARI E-VEHICLES,207
246,PARI METRO E RICKSHAW,354
247,PARVEEN AUTO,1
248,PASHUPATI VEHICLES PVT LTD,1
249,PATS MOTOR CORP,16
250,PIAGGIO VEHICLES PVT LTD,"2,689"
251,PLAUDIT TECHNO INDIA PVT LTD,26
252,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,9
253,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,4
254,PRAG MOTORS,21
255,PRAKASH ENTERPRISES,35
256,PRIDE E-MOTORS,18
257,PUBANG ETRON ELECTRIC MOTOR PVT LTD,77
258,PUNEET OVERSEAS INC,3
259,PURVA UDYOG PVT LTD,11
260,PYTHOX MOTORS PVT LTD,45
261,R3 ENTERPRISES,75
262,RACCOON MOTORS PVT LTD,8
263,RAHUL AGRO EXPORTS PVT LTD,32
264,RAJ AUTOMOTIVE,64
265,RAJESH STEEL AND WIRE INDUSTRIES,14
266,RAMON INDUSTRIES,31
267,RANA ENGINEER WORKS,7
268,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,15
269,RASIWASIA RASAYAN PVT LTD,6
270,RAYON ENGINEERS,109
271,RCJ AUTO FORGE PVT LTD,114
272,RD AND CO,5
273,REEP INDUSTRIES PVT LTD,111
274,REFLEX CONTROL SYSTEM PVT .LTD,33
275,REPUBLIC MOTORS,88
276,RIBAND ELECTRIC PVT LTD,78
277,RIYA ENTERPRISE,13
278,ROARLEO MOTOR PVT LTD,54
279,RSD SECURITY SOLUTIONS PVT LTD,1
280,RUTBA PRODUCT PVT LTD,245
281,SAERA ELECTRIC AUTO PVT LTD,"8,167"
282,SAHNIANAND E VEHICLES PVT LTD,57
283,SAINIK CYCLE MART,49
284,SAKSHAM TECH AUTOMOBILES,118
285,SAKSHAM TRADING COMPANY,11
286,SAMRAT ELECTRIC VEHICLE,108
287,S AND J INDUSTRIES,83
288,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,598
289,SAURABH ELECTRIC AUTO,23
290,SCOOTERS INDIA LTD,4
291,SEALION AUTOMOBILE PVT LTD,27
292,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,22
293,SETH INDUSTRIAL CORPORATION,82
294,SGLLINE MOTORS PVT LTD,17
295,SHAKTI AUTO GREEN,185
296,SHALYA AUTO SALES PVT LTD,17
297,SHIGAN EVOLTZ LTD,610
298,SHINE METAL UDYOG PVT LTD (UNIT- II),3
299,SHINME ELECTRICAL VEHICLE PVT LTD,83
300,SHIV OM INDIA,24
301,SHREE MARUTI NANDAN BUSINESSS (P) LTD,65
302,SHREYA ENGINEERS,10
303,SHRI BARSANA E-VEHICLES PVT LTD,590
304,SHRI NAMO ELECTRIC AUTOMOTIVE,127
305,SHRIRAJ ELECTRIC VEHICLES,935
306,SHRI SHIVSHANKAR ENTERPRISES,5
307,SINGHAL ENTERPRISES,22
308,SIRF INDIA VEHICLES PVT LTD,4
309,SIWACH STEEL PVT LTD,63
310,SKS TRADE INDIA PVT LTD,"2,705"
311,SKYRIDE AUTOMOTIVE,51
312,SMART ELECTRO MOTORS,32
313,SN SOLAR ENERGY,2
314,SONI E VEHICLE PVT LTD,126
315,SPEEDWAYS ELECTRIC,1
316,SPEEGO VEHICLES CO PVT LTD,"2,011"
317,SRD RENEWABLES,630
318,SSB INDISTRIES,746
319,SSEV ENTERPRISES PRIVATE LIMITED,43
320,S S GLOBAL,8
321,STAR BULL E MOTORS,987
322,STAR IGLOBAL AUTOMOTIVE PVT LTD,29
323,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,3
324,SUMFONL AUTO TRADERS PVT LTD,52
325,SUNULTRA POWER SOLUTIONS PVT LTD,27
326,SUPERECO AUTOMOTIVE CO,22
327,SUPER METRO INDUSTRIES,336
328,SUPERTECH INC,394
329,SUPREME SMART POWER PVT LTD,57
330,SWARNCHAKRA AUTOMOBILES PVT LTD,7
331,SYNDICATE AUTO COMPONENTS,121
332,TAO POWER PRIVATE LIMITED,2
333,TAURUS ELECTRIC VEHICLES,112
334,TEJASGREEN AUTOMOTIVE PVT LTD,27
335,TERRA MOTORS INDIA PVT LTD,"3,529"
336,THE COMMERCIAL MOTORS LIMITED,56
337,THUKRAL ELECTRIC BIKES PVT LTD,"2,945"
338,TOP TEAM MACHINES PVT LTD,662
339,TRINITY ELECTRIC VEHICLES PVT LTD,8
340,TRISHIKA INDUSTRIES,612
341,TSR TRADE COM,8
342,TUFAN MOTORS PVT LTD,201
343,T U K INDUSTRIES,554
344,TWASHTRE AUTOMOTIVE PVT LTD,1
345,TWINKLE TRADCOM PVT LTD,238
346,TWO FRIENDS AUTO ELECTRIC CO,"1,222"
347,UMA AUTO INDUSTRIES PVT. LTD,9
348,UMA MOTORS,122
349,UNIQUE ENTERPRISES,762
350,UNIQUE INTERNATIONAL,"5,088"
351,UNITED TRANSMOVERS PVT LTD,140
352,U.P. TELELINKS LIMITED,726
353,URWASHI ENTERPRISES,56
354,VAHAK FUTURE SOLUTIONS LLP,9
355,VANI ELECTRIC VEHICLES PVT LTD,"2,949"
356,VEANCO AUTOMOTIVES PVT LTD,1
357,VEECTERO E VEHICLES LLP,46
358,VENUS AUTO WHEELS PVT LTD,234
359,VICTORY ELECTRIC INTERNATIONAL,862
360,VIJAYA ELECTRIC AUTO PVT LTD,84
361,VIJAYS COOLMAX PRIVATE LIMITED,514
362,VIJAYSHREE AUTOCOM LIMITED,103
363,VIMAL UNIVERSAL TRADE PVT LTD,132
364,VINCI INDUSTRIAL CORPORATION,6
365,VISHAL ENTERPRISES,26
366,VISHWAKARMA GNG INDUSTRY,2
367,VRINDA ENTERPRISES,118
368,VSL INDUSTRIES,5
369,V.T. ENGINEERING,42
370,V.V.A.AUTO INDUSTRIES PVT.LTD,34
371,WELKIN HEALTHCARE PVT LTD,81
372,XL MOTORS AND ENGINEERING,19
373,XXPLORE AUTOMOTIVE PVT. LIMITED,9
374,XYZ,24
375,YAARI AUTOMOBILES PVT LTD,1
376,YC ELECTRIC VEHICLE,"14,076"
377,YUVRAJ INTERNATIONAL,2
378,ZENIAK INNOVATION INDIA LTD,873
379,ZEOPLUS AXIS INDIA PVT. LTD.,14
